 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/26/2013 10:38:27 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
10/7/2001	37.8815757309699	13.2492829098602	1.71149291971785E-10	0	0	0	0.979135292220874	0.960189885184313	5.82671713142715	0.500100523192655	0	0
10/8/2001	37.9233343905699	13.2603719889198	7.77016583442363E-15	0	0	0	0.952195222448629	0.933771082876738	4.87452097712892	0.300880671331687	0	0
10/9/2001	37.9259173568649	13.2646078389036	3.52764983125749E-19	0	0	0	0.916283880409952	0.898554594477123	3.95823614588117	0.181928388956087	0	0
10/10/2001	37.9044789405637	13.2636995414355	1.60155054565994E-23	0	0	0	0.938121876965087	0.919970045833007	3.02011323971009	0.110460606113368	0	0
10/11/2001	40.545835559271	13.2584134217127	0.0137792252212424	0	0.0508873825020342	0	0.994413043942984	0.994413043942984	5.73180353279872	0.589669270455169	0	4.33653766
10/12/2001	2308.16389280147	13.3871949750153	1.15542027102966	10.4937941355874	0.203106804845768	0	1.03594184189772	1.03594184189772	41.9995535846095	16.6014371576787	0	71.2498798
10/13/2001	170.644303065286	13.9647534194908	0.264230794101917	0.377203129539149	0.0381108322339665	0	1.0678926627068	1.0678926627068	41.9995535846095	21.9855831574977	0	16.69139012
10/14/2001	248.773054727143	14.851505991612	0.371059202223205	0.617261130677796	0.0394206050368949	0	1.05604191541064	1.05604191541064	41.9995535846095	29.1016701933991	0	22.270667767
10/15/2001	50.495234930733	15.4237497081462	1.68460617186414E-05	0	0	0	0.985205348530343	0.966142497983831	41.0143468585525	17.1033466273263	0	0
10/16/2001	101.592419603103	16.9516345550908	0.16006255933468	0.0305064203396479	0.0356629488997022	0	0.95455500381294	0.95455500381294	41.9995535846095	18.1193911605184	0	11.0703956
10/17/2001	58.8204041107835	17.4509237274823	7.26682895139202E-06	0	0	0	0.941063553217917	0.922854808944032	41.0584886005795	10.6266783290454	0	0
10/18/2001	60.0290968861867	18.3968429925993	3.29913523989283E-10	0	0	0	0.921468310068751	0.903638717162928	40.137018832887	6.2623990262871	0	0
10/19/2001	62.3223019233237	19.13458537622	1.49780508168071E-14	0	0	0	0.96957762397701	0.950817159455921	39.1674396154342	3.70600324909414	0	0
10/20/2001	63.8027331166395	19.7007902551531	6.8000245506154E-19	0	0	0	0.982351640166174	0.963344010663835	38.1850863000837	2.2016405074341	0	0
10/21/2001	64.7114947184134	20.1290685444628	3.08720636981529E-23	0	0	0	0.9751555898578	0.956287198385802	37.2099289868841	1.31259400657006	0	0
